S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Win Team
64,England,Pakistan,England,3 wickets,Nottingham,2019-05-17,ODI # 4138,Team 1
65,Ireland,Afghanistan,Ireland,72 runs,Belfast,2019-05-19,ODI # 4139,Team 1
66,England,Pakistan,England,54 runs,Leeds,2019-05-19,ODI # 4140,Team 1
67,Ireland,Afghanistan,Afghanistan,126 runs,Belfast,2019-05-21,ODI # 4141,Team 2
68,Scotland,Sri Lanka,Sri Lanka,35 runs,Edinburgh,2019-05-21,ODI # 4142,Team 2
69,England,South Africa,England,104 runs,The Oval,2019-05-30,ODI # 4143,Team 1
70,Pakistan,West Indies,West Indies,7 wickets,Nottingham,2019-05-31,ODI # 4144,Team 2
71,New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff,2019-06-01,ODI # 4145,Team 1
72,Afghanistan,Australia,Australia,7 wickets,Bristol,2019-06-01,ODI # 4146,Team 2
73,Bangladesh,South Africa,Bangladesh,21 runs,The Oval,2019-06-02,ODI # 4147,Team 1
74,England,Pakistan,Pakistan,14 runs,Nottingham,2019-06-03,ODI # 4148,Team 2
75,Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff,2019-06-04,ODI # 4149,Team 2
76,India,South Africa,India,6 wickets,Southampton,2019-06-05,ODI # 4150,Team 1
77,Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,2019-06-05,ODI # 4151,Team 2
78,Australia,West Indies,Australia,15 runs,Nottingham,2019-06-06,ODI # 4152,Team 1
79,England,Bangladesh,England,106 runs,Cardiff,2019-06-08,ODI # 4153,Team 1
80,Afghanistan,New Zealand,New Zealand,7 wickets,Taunton,2019-06-08,ODI # 4154,Team 2
81,Australia,India,India,36 runs,The Oval,2019-06-09,ODI # 4155,Team 2
82,South Africa,West Indies,no result,-,Southampton,2019-06-10,ODI # 4156,No Result
83,Australia,Pakistan,Australia,41 runs,Taunton,2019-06-12,ODI # 4157,Team 1
