S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Win Team
280,Oman,U.A.E.,tied,-,Al Amerat,2022-02-08,ODI # 4354,No Result
281,India,West Indies,India,44 runs,Ahmedabad,2022-02-09,ODI # 4355,Team 1
282,India,West Indies,India,96 runs,Ahmedabad,2022-02-11,ODI # 4356,Team 1
283,Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,2022-02-23,ODI # 4357,Team 1
284,Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram,2022-02-25,ODI # 4358,Team 1
285,Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram,2022-02-28,ODI # 4359,Team 2
286,U.A.E.,Oman,Oman,12 runs,ICCA Dubai,2022-03-05,ODI # 4360,Team 2
287,Namibia,Oman,Namibia,110 runs,ICCA Dubai,2022-03-06,ODI # 4361,Team 1
288,U.A.E.,Namibia,U.A.E.,3 wickets,ICCA Dubai,2022-03-08,ODI # 4362,Team 1
289,U.A.E.,Oman,Oman,8 runs,ICCA Dubai,2022-03-09,ODI # 4363,Team 2
290,Namibia,Oman,Oman,7 wickets,Sharjah,2022-03-11,ODI # 4364,Team 2
291,U.A.E.,Namibia,U.A.E.,43 runs,Sharjah,2022-03-12,ODI # 4365,Team 1
292,Namibia,Oman,Namibia,5 wickets,Dubai (DSC),2022-03-14,ODI # 4366,Team 1
293,U.A.E.,P.N.G.,U.A.E.,7 wickets,Sharjah,2022-03-15,ODI # 4367,Team 1
294,Nepal,P.N.G.,Nepal,2 wickets,Sharjah,2022-03-16,ODI # 4368,Team 1
295,U.A.E.,Nepal,U.A.E.,48 runs,Dubai (DSC),2022-03-18,ODI # 4369,Team 1
296,South Africa,Bangladesh,Bangladesh,38 runs,Centurion,2022-03-18,ODI # 4370,Team 2
297,U.A.E.,P.N.G.,P.N.G.,6 wickets,Dubai (DSC),2022-03-19,ODI # 4371,Team 2
298,South Africa,Bangladesh,South Africa,7 wickets,Johannesburg,2022-03-20,ODI # 4372,Team 1
299,U.A.E.,Nepal,U.A.E.,99 runs,Dubai (DSC),2022-03-21,ODI # 4373,Team 1
300,Nepal,P.N.G.,Nepal,7 wickets,Dubai (DSC),2022-03-22,ODI # 4374,Team 1
301,South Africa,Bangladesh,Bangladesh,9 wickets,Centurion,2022-03-23,ODI # 4375,Team 2
302,Nepal,P.N.G.,P.N.G.,6 runs,Kirtipur,2022-03-25,ODI # 4376,Team 2
303,Nepal,P.N.G.,P.N.G.,3 wickets,Kirtipur,2022-03-26,ODI # 4377,Team 2
304,New Zealand,Netherlands,New Zealand,7 wickets,Mount Maunganui,2022-03-29,ODI # 4378,Team 1
305,Pakistan,Australia,Australia,88 runs,Lahore,2022-03-29,ODI # 4379,Team 2
306,Pakistan,Australia,Pakistan,6 wickets,Lahore,2022-03-31,ODI # 4380,Team 1
307,New Zealand,Netherlands,New Zealand,118 runs,Hamilton,2022-04-02,ODI # 4381,Team 1
308,Pakistan,Australia,Pakistan,9 wickets,Lahore,2022-04-02,ODI # 4382,Team 1
309,New Zealand,Netherlands,New Zealand,115 runs,Hamilton,2022-04-04,ODI # 4383,Team 1
310,P.N.G.,Scotland,Scotland,162 runs,Dubai (DSC),2022-04-09,ODI # 4384,Team 2
311,Oman,Scotland,Scotland,4 runs,Dubai (DSC),2022-04-10,ODI # 4385,Team 2
312,Oman,P.N.G.,Oman,7 wickets,Dubai (DSC),2022-04-12,ODI # 4386,Team 1
313,P.N.G.,Scotland,Scotland,123 runs,Dubai (DSC),2022-04-13,ODI # 4387,Team 2
314,Oman,Scotland,Scotland,2 wickets,Dubai (DSC),2022-04-15,ODI # 4388,Team 2
315,Oman,P.N.G.,Oman,85 runs,Dubai (DSC),2022-04-16,ODI # 4389,Team 1
316,U.S.A.,Scotland,U.S.A.,104 runs,Pearland,2022-05-28,ODI # 4390,Team 1
317,U.S.A.,Scotland,Scotland,111 runs,Pearland,2022-05-29,ODI # 4391,Team 2
318,Netherlands,West Indies,West Indies,7 wickets,Amstelveen,2022-05-31,ODI # 4392,Team 2
319,Scotland,U.A.E.,Scotland,4 wickets,Pearland,2022-05-31,ODI # 4393,Team 1
320,U.S.A.,U.A.E.,U.S.A.,4 wickets,Pearland,2022-06-01,ODI # 4394,Team 1
321,Netherlands,West Indies,West Indies,5 wickets,Amstelveen,2022-06-02,ODI # 4395,Team 2
322,Scotland,U.A.E.,U.A.E.,5 wickets,Pearland,2022-06-03,ODI # 4396,Team 2
323,Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare,2022-06-04,ODI # 4397,Team 2
324,Netherlands,West Indies,West Indies,20 runs,Amstelveen,2022-06-04,ODI # 4398,Team 2
325,U.S.A.,U.A.E.,U.A.E.,8 wickets,Pearland,2022-06-04,ODI # 4399,Team 2
326,Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare,2022-06-06,ODI # 4400,Team 2
327,Pakistan,West Indies,Pakistan,5 wickets,Multan,2022-06-08,ODI # 4401,Team 1
328,U.S.A.,Oman,U.S.A.,114 runs,Pearland,2022-06-08,ODI # 4402,Team 1
329,Zimbabwe,Afghanistan,Afghanistan,4 wickets,Harare,2022-06-09,ODI # 4403,Team 2
330,Nepal,Oman,Oman,13 runs,Pearland,2022-06-09,ODI # 4404,Team 2
331,Pakistan,West Indies,Pakistan,120 runs,Multan,2022-06-10,ODI # 4405,Team 1
332,U.S.A.,Nepal,tied,-,Pearland,2022-06-11,ODI # 4406,No Result
333,Pakistan,West Indies,Pakistan,53 runs,Multan,2022-06-12,ODI # 4407,Team 1
334,U.S.A.,Oman,Oman,13 runs,Pearland,2022-06-12,ODI # 4408,Team 2
335,Sri Lanka,Australia,Australia,2 wickets,Pallekele,2022-06-14,ODI # 4409,Team 2
336,Nepal,Oman,Nepal,7 wickets,Pearland,2022-06-14,ODI # 4410,Team 1
337,U.S.A.,Nepal,U.S.A.,39 runs,Pearland,2022-06-15,ODI # 4411,Team 1
338,Sri Lanka,Australia,Sri Lanka,26 runs,Pallekele,2022-06-16,ODI # 4412,Team 1
339,Netherlands,England,England,232 runs,Amstelveen,2022-06-17,ODI # 4413,Team 2
340,Netherlands,England,England,6 wickets,Amstelveen,2022-06-19,ODI # 4414,Team 2
341,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (RPS),2022-06-19,ODI # 4415,Team 1
342,Sri Lanka,Australia,Sri Lanka,4 runs,Colombo (RPS),2022-06-21,ODI # 4416,Team 1
343,Netherlands,England,England,8 wickets,Amstelveen,2022-06-22,ODI # 4417,Team 2
344,Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),2022-06-24,ODI # 4418,Team 2
345,Ireland,New Zealand,New Zealand,1 wicket,Dublin (Malahide),2022-07-10,ODI # 4419,Team 2
346,Scotland,Namibia,Scotland,77 runs,Glasgow,2022-07-10,ODI # 4420,Team 1
347,West Indies,Bangladesh,Bangladesh,6 wickets,Providence,2022-07-10,ODI # 4421,Team 2
348,Namibia,Nepal,Namibia,40 runs,Ayr,2022-07-11,ODI # 4422,Team 1
349,Ireland,New Zealand,New Zealand,3 wickets,Dublin (Malahide),2022-07-12,ODI # 4423,Team 2
350,England,India,India,10 wickets,The Oval,2022-07-12,ODI # 4424,Team 2
351,Scotland,Nepal,Nepal,5 wickets,Glasgow,2022-07-13,ODI # 4425,Team 2
352,West Indies,Bangladesh,Bangladesh,9 wickets,Providence,2022-07-13,ODI # 4426,Team 2
353,Scotland,Namibia,Scotland,3 wickets,Glasgow,2022-07-14,ODI # 4427,Team 1
354,England,India,England,100 runs,Lord's,2022-07-14,ODI # 4428,Team 1
355,Ireland,New Zealand,New Zealand,1 run,Dublin (Malahide),2022-07-15,ODI # 4429,Team 2
356,Namibia,Nepal,Namibia,63 runs,Ayr,2022-07-16,ODI # 4430,Team 1
357,West Indies,Bangladesh,Bangladesh,4 wickets,Providence,2022-07-16,ODI # 4431,Team 2
358,Scotland,Nepal,Scotland,8 wickets,Glasgow,2022-07-17,ODI # 4432,Team 1
359,England,India,India,5 wickets,Manchester,2022-07-17,ODI # 4433,Team 2
360,England,South Africa,South Africa,62 runs,Chester-le-Street,2022-07-19,ODI # 4434,Team 2
361,England,South Africa,England,118 runs,Manchester,2022-07-22,ODI # 4435,Team 1
362,West Indies,India,India,3 runs,Port of Spain,2022-07-22,ODI # 4436,Team 2
363,England,South Africa,no result,-,Leeds,2022-07-24,ODI # 4437,No Result
364,West Indies,India,India,2 wickets,Port of Spain,2022-07-24,ODI # 4438,Team 2
365,West Indies,India,India,119 runs,Port of Spain,2022-07-27,ODI # 4439,Team 2
366,Scotland,New Zealand,New Zealand,7 wickets,Edinburgh,2022-07-31,ODI # 4440,Team 2
367,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,2022-08-05,ODI # 4441,Team 1
368,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,2022-08-07,ODI # 4442,Team 1
369,Zimbabwe,Bangladesh,Bangladesh,105 runs,Harare,2022-08-10,ODI # 4443,Team 2
370,Scotland,U.A.E.,Scotland,64 runs,Aberdeen,2022-08-10,ODI # 4444,Team 1
371,U.A.E.,U.S.A.,U.S.A.,1 wicket,Aberdeen,2022-08-11,ODI # 4445,Team 2
372,Scotland,U.S.A.,Scotland,5 wickets,Aberdeen,2022-08-13,ODI # 4446,Team 1
373,Scotland,U.A.E.,Scotland,86 runs,Aberdeen,2022-08-14,ODI # 4447,Team 1
374,Netherlands,Pakistan,Pakistan,16 runs,Rotterdam,2022-08-16,ODI # 4448,Team 2
375,Scotland,U.S.A.,U.S.A.,2 wickets,Aberdeen,2022-08-17,ODI # 4449,Team 2
376,West Indies,New Zealand,West Indies,5 wickets,Bridgetown,2022-08-17,ODI # 4450,Team 1
377,Zimbabwe,India,India,10 wickets,Harare,2022-08-18,ODI # 4451,Team 2
378,Netherlands,Pakistan,Pakistan,7 wickets,Rotterdam,2022-08-18,ODI # 4452,Team 2
379,West Indies,New Zealand,New Zealand,50 runs,Bridgetown,2022-08-19,ODI # 4453,Team 2
380,Zimbabwe,India,India,5 wickets,Harare,2022-08-20,ODI # 4454,Team 2
381,Netherlands,Pakistan,Pakistan,9 runs,Rotterdam,2022-08-21,ODI # 4455,Team 2
382,West Indies,New Zealand,New Zealand,5 wickets,Bridgetown,2022-08-21,ODI # 4456,Team 2
383,Zimbabwe,India,India,13 runs,Harare,2022-08-22,ODI # 4457,Team 2
384,Australia,Zimbabwe,Australia,5 wickets,Townsville,2022-08-28,ODI # 4458,Team 1
385,Australia,Zimbabwe,Australia,8 wickets,Townsville,2022-08-31,ODI # 4459,Team 1
386,Australia,Zimbabwe,Zimbabwe,3 wickets,Townsville,2022-09-03,ODI # 4460,Team 2
387,Australia,New Zealand,Australia,2 wickets,Cairns,2022-09-06,ODI # 4461,Team 1
388,Australia,New Zealand,Australia,113 runs,Cairns,2022-09-08,ODI # 4462,Team 1
389,P.N.G.,U.S.A.,tied,-,Port Moresby,2022-09-11,ODI # 4463,No Result
390,Australia,New Zealand,Australia,25 runs,Cairns,2022-09-11,ODI # 4464,Team 1
391,P.N.G.,U.S.A.,P.N.G.,26 runs,Port Moresby,2022-09-13,ODI # 4465,Team 1
392,Namibia,U.S.A.,Namibia,79 runs,Port Moresby,2022-09-15,ODI # 4466,Team 1
393,Namibia,U.S.A.,Namibia,68 runs,Port Moresby,2022-09-17,ODI # 4467,Team 1
394,P.N.G.,Namibia,Namibia,167 runs,Port Moresby,2022-09-20,ODI # 4468,Team 2
395,P.N.G.,Namibia,Namibia,61 runs,Port Moresby,2022-09-21,ODI # 4469,Team 2
396,India,South Africa,South Africa,9 runs,Lucknow,2022-10-06,ODI # 4470,Team 2
397,India,South Africa,India,7 wickets,Ranchi,2022-10-09,ODI # 4471,Team 1
398,India,South Africa,India,7 wickets,Delhi,2022-10-11,ODI # 4472,Team 1
399,Nepal,U.A.E.,U.A.E.,84 runs,Kirtipur,2022-11-14,ODI # 4473,Team 2
400,Nepal,U.A.E.,Nepal,3 wickets,Kirtipur,2022-11-16,ODI # 4474,Team 1
401,Australia,England,Australia,6 wickets,Adelaide,2022-11-17,ODI # 4475,Team 1
402,Nepal,U.A.E.,Nepal,6 wickets,Kirtipur,2022-11-18,ODI # 4476,Team 1
403,Australia,England,Australia,72 runs,Sydney,2022-11-19,ODI # 4477,Team 1
404,Namibia,P.N.G.,Namibia,8 wickets,Windhoek,2022-11-19,ODI # 4478,Team 1
405,Namibia,U.S.A.,U.S.A.,71 runs,Windhoek,2022-11-20,ODI # 4479,Team 2
406,Australia,England,Australia,221 runs,Melbourne,2022-11-22,ODI # 4480,Team 1
407,P.N.G.,U.S.A.,U.S.A.,6 wickets,Windhoek,2022-11-22,ODI # 4481,Team 2
408,Namibia,P.N.G.,Namibia,3 wickets,Windhoek,2022-11-23,ODI # 4482,Team 1
409,New Zealand,India,New Zealand,7 wickets,Auckland,2022-11-25,ODI # 4483,Team 1
410,P.N.G.,U.S.A.,U.S.A.,35 runs,Windhoek,2022-11-25,ODI # 4484,Team 2
411,Sri Lanka,Afghanistan,Afghanistan,60 runs,Pallekele,2022-11-25,ODI # 4485,Team 2
412,Namibia,U.S.A.,Namibia,6 wickets,Windhoek,2022-11-26,ODI # 4486,Team 1
413,New Zealand,India,no result,-,Hamilton,2022-11-27,ODI # 4487,No Result
414,Sri Lanka,Afghanistan,no result,-,Pallekele,2022-11-27,ODI # 4488,No Result
415,New Zealand,India,no result,-,Christchurch,2022-11-30,ODI # 4489,No Result
416,Sri Lanka,Afghanistan,Sri Lanka,4 wickets,Pallekele,2022-11-30,ODI # 4490,Team 1
417,Namibia,Scotland,Scotland,4 wickets,Windhoek,2022-12-01,ODI # 4491,Team 2
418,Namibia,Nepal,no result,-,Windhoek,2022-12-02,ODI # 4492,No Result
419,Bangladesh,India,Bangladesh,1 wicket,Mirpur,2022-12-04,ODI # 4493,Team 1
420,Nepal,Scotland,Scotland,3 wickets,Windhoek,2022-12-04,ODI # 4494,Team 2
421,Namibia,Scotland,Namibia,3 wickets,Windhoek,2022-12-05,ODI # 4495,Team 1
422,Bangladesh,India,Bangladesh,5 runs,Mirpur,2022-12-07,ODI # 4496,Team 1
423,Namibia,Nepal,Namibia,86 runs,Windhoek,2022-12-07,ODI # 4497,Team 1
424,Nepal,Scotland,Scotland,8 wickets,Windhoek,2022-12-08,ODI # 4498,Team 2
425,Bangladesh,India,India,227 runs,Chattogram,2022-12-10,ODI # 4499,Team 2
426,Pakistan,New Zealand,Pakistan,6 wickets,Karachi,2023-01-09,ODI # 4500,Team 1
427,India,Sri Lanka,India,67 runs,Guwahati,2023-01-10,ODI # 4501,Team 1
428,Pakistan,New Zealand,New Zealand,79 runs,Karachi,2023-01-11,ODI # 4502,Team 2
429,India,Sri Lanka,India,4 wickets,Eden Gardens,2023-01-12,ODI # 4503,Team 1
430,Pakistan,New Zealand,New Zealand,2 wickets,Karachi,2023-01-13,ODI # 4504,Team 2
431,India,Sri Lanka,India,317 runs,Thiruvananthapuram,2023-01-15,ODI # 4505,Team 1
432,Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,2023-01-18,ODI # 4506,Team 1
433,India,New Zealand,India,12 runs,Hyderabad,2023-01-18,ODI # 4507,Team 1
434,Zimbabwe,Ireland,Ireland,46 runs,Harare,2023-01-21,ODI # 4508,Team 2
435,India,New Zealand,India,8 wickets,Raipur,2023-01-21,ODI # 4509,Team 1
436,Zimbabwe,Ireland,no result,-,Harare,2023-01-23,ODI # 4510,No Result
437,India,New Zealand,India,90 runs,Indore,2023-01-24,ODI # 4511,Team 1
438,South Africa,England,South Africa,27 runs,Bloemfontein,2023-01-27,ODI # 4512,Team 1
439,South Africa,England,South Africa,5 wickets,Bloemfontein,2023-01-29,ODI # 4513,Team 1
440,South Africa,England,England,59 runs,Kimberley,2023-02-01,ODI # 4514,Team 2
441,Nepal,Namibia,Nepal,2 wickets,Kirtipur,2023-02-14,ODI # 4515,Team 1
442,Namibia,Scotland,Scotland,10 wickets,Kirtipur,2023-02-15,ODI # 4516,Team 2
443,Nepal,Scotland,Nepal,3 wickets,Kirtipur,2023-02-17,ODI # 4517,Team 1
444,Nepal,Namibia,Nepal,3 wickets,Kirtipur,2023-02-18,ODI # 4518,Team 1
445,Namibia,Scotland,Scotland,43 runs,Kirtipur,2023-02-20,ODI # 4519,Team 2
446,Nepal,Scotland,Nepal,2 wickets,Kirtipur,2023-02-21,ODI # 4520,Team 1
447,U.A.E.,Namibia,U.A.E.,1 wicket,Dubai (DSC),2023-02-23,ODI # 4521,Team 1
448,U.A.E.,Namibia,Namibia,7 wickets,Dubai (DSC),2023-02-25,ODI # 4522,Team 2
449,Nepal,P.N.G.,Nepal,4 wickets,Dubai (DSC),2023-02-27,ODI # 4523,Team 1
450,U.A.E.,P.N.G.,P.N.G.,131 runs,Dubai (DSC),2023-02-28,ODI # 4524,Team 2
451,Bangladesh,England,England,3 wickets,Mirpur,2023-03-01,ODI # 4525,Team 2
452,U.A.E.,Nepal,U.A.E.,68 runs,Dubai (DSC),2023-03-02,ODI # 4526,Team 1
453,Nepal,P.N.G.,Nepal,3 wickets,Dubai (DSC),2023-03-03,ODI # 4527,Team 1
454,Bangladesh,England,England,132 runs,Mirpur,2023-03-03,ODI # 4528,Team 2
455,U.A.E.,P.N.G.,P.N.G.,5 wickets,Dubai (DSC),2023-03-05,ODI # 4529,Team 2
456,U.A.E.,Nepal,Nepal,42 runs,Dubai (DSC),2023-03-06,ODI # 4530,Team 2
457,Bangladesh,England,Bangladesh,50 runs,Chattogram,2023-03-06,ODI # 4531,Team 1
458,Nepal,P.N.G.,Nepal,52 runs,Kirtipur,2023-03-09,ODI # 4532,Team 1
459,P.N.G.,U.A.E.,P.N.G.,56 runs,Kirtipur,2023-03-10,ODI # 4533,Team 1
460,Nepal,U.A.E.,Nepal,177 runs,Kirtipur,2023-03-12,ODI # 4534,Team 1
461,Nepal,P.N.G.,Nepal,9 wickets,Kirtipur,2023-03-13,ODI # 4535,Team 1
462,P.N.G.,U.A.E.,U.A.E.,6 wickets,Kirtipur,2023-03-15,ODI # 4536,Team 2
463,Nepal,U.A.E.,Nepal,9 runs,Kirtipur,2023-03-16,ODI # 4537,Team 1
464,India,Australia,India,5 wickets,Wankhede,2023-03-17,ODI # 4538,Team 1
465,Bangladesh,Ireland,Bangladesh,183 runs,Sylhet,2023-03-18,ODI # 4539,Team 1
466,South Africa,West Indies,West Indies,48 runs,East London,2023-03-18,ODI # 4540,Team 2
467,India,Australia,Australia,10 wickets,Visakhapatnam,2023-03-19,ODI # 4541,Team 2
468,Bangladesh,Ireland,no result,-,Sylhet,2023-03-20,ODI # 4542,No Result
469,Zimbabwe,Netherlands,Netherlands,3 wickets,Harare,2023-03-21,ODI # 4543,Team 2
470,South Africa,West Indies,South Africa,4 wickets,Potchefstroom,2023-03-21,ODI # 4544,Team 1
471,India,Australia,Australia,21 runs,Chennai,2023-03-22,ODI # 4545,Team 2
472,Zimbabwe,Netherlands,Zimbabwe,1 run,Harare,2023-03-23,ODI # 4546,Team 1
473,Bangladesh,Ireland,Bangladesh,10 wickets,Sylhet,2023-03-23,ODI # 4547,Team 1
474,New Zealand,Sri Lanka,New Zealand,198 runs,Auckland,2023-03-25,ODI # 4548,Team 1
475,Zimbabwe,Netherlands,Zimbabwe,7 wickets,Harare,2023-03-25,ODI # 4549,Team 1
476,Namibia,U.S.A.,U.S.A.,80 runs,Windhoek,2023-03-26,ODI # 4550,Team 2
477,P.N.G.,U.A.E.,U.A.E.,21 runs,Windhoek,2023-03-27,ODI # 4551,Team 2
478,Canada,Jersey,Canada,31 runs,Windhoek,2023-03-27,ODI # 4552,Team 1
479,Canada,U.S.A.,Canada,26 runs,Windhoek,2023-03-29,ODI # 4553,Team 1
480,Namibia,P.N.G.,Namibia,48 runs,Windhoek,2023-03-29,ODI # 4554,Team 1
481,Namibia,Jersey,Namibia,8 wickets,Windhoek,2023-03-30,ODI # 4555,Team 1
482,U.A.E.,U.S.A.,U.S.A.,5 wickets,Windhoek,2023-03-30,ODI # 4556,Team 2
483,New Zealand,Sri Lanka,New Zealand,6 wickets,Hamilton,2023-03-31,ODI # 4557,Team 1
484,South Africa,Netherlands,South Africa,8 wickets,Benoni,2023-03-31,ODI # 4558,Team 1
485,Canada,U.A.E.,U.A.E.,6 wickets,Windhoek,2023-04-01,ODI # 4559,Team 2
486,Jersey,P.N.G.,Jersey,11 runs,Windhoek,2023-04-01,ODI # 4560,Team 1
487,P.N.G.,U.S.A.,U.S.A.,117 runs,Windhoek,2023-04-02,ODI # 4561,Team 2
488,Namibia,U.A.E.,U.A.E.,28 runs,Windhoek,2023-04-02,ODI # 4562,Team 2
489,South Africa,Netherlands,South Africa,146 runs,Johannesburg,2023-04-02,ODI # 4563,Team 1
490,Namibia,Canada,Namibia,111 runs,Windhoek,2023-04-04,ODI # 4564,Team 1
491,Jersey,U.S.A.,U.S.A.,25 runs,Windhoek,2023-04-04,ODI # 4565,Team 2
492,Jersey,U.A.E.,U.A.E.,66 runs,Windhoek,2023-04-05,ODI # 4566,Team 2
493,Canada,P.N.G.,Canada,90 runs,Windhoek,2023-04-05,ODI # 4567,Team 1
494,Nepal,Oman,Nepal,84 runs,Kirtipur,2023-04-21,ODI # 4568,Team 1
495,Pakistan,New Zealand,Pakistan,5 wickets,Rawalpindi,2023-04-27,ODI # 4569,Team 1
496,Oman,U.A.E.,U.A.E.,2 runs,Mulpani,2023-04-29,ODI # 4570,Team 2
497,Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi,2023-04-29,ODI # 4571,Team 1
498,Nepal,U.A.E.,Nepal,7 wickets,Kirtipur,2023-05-01,ODI # 4572,Team 1
499,Pakistan,New Zealand,Pakistan,26 runs,Karachi,2023-05-03,ODI # 4573,Team 1
500,Pakistan,New Zealand,Pakistan,102 runs,Karachi,2023-05-05,ODI # 4574,Team 1
501,Pakistan,New Zealand,New Zealand,47 runs,Karachi,2023-05-07,ODI # 4575,Team 2
502,Bangladesh,Ireland,no result,-,Chelmsford,2023-05-09,ODI # 4576,No Result
503,Bangladesh,Ireland,Bangladesh,3 wickets,Chelmsford,2023-05-12,ODI # 4577,Team 1
504,Bangladesh,Ireland,Bangladesh,5 runs,Chelmsford,2023-05-14,ODI # 4578,Team 1
505,Sri Lanka,Afghanistan,Afghanistan,6 wickets,Hambantota,2023-06-02,ODI # 4579,Team 2
506,Sri Lanka,Afghanistan,Sri Lanka,132 runs,Hambantota,2023-06-04,ODI # 4580,Team 1
507,U.A.E.,West Indies,West Indies,7 wickets,Sharjah,2023-06-04,ODI # 4581,Team 2
508,U.A.E.,West Indies,West Indies,78 runs,Sharjah,2023-06-06,ODI # 4582,Team 2
509,Sri Lanka,Afghanistan,Sri Lanka,9 wickets,Hambantota,2023-06-07,ODI # 4583,Team 1
510,U.A.E.,West Indies,West Indies,4 wickets,Sharjah,2023-06-09,ODI # 4584,Team 2
511,Zimbabwe,Nepal,Zimbabwe,8 wickets,Harare,2023-06-18,ODI # 4585,Team 1
512,U.S.A.,West Indies,West Indies,39 runs,Harare,2023-06-18,ODI # 4586,Team 2
513,Sri Lanka,U.A.E.,Sri Lanka,175 runs,Bulawayo,2023-06-19,ODI # 4587,Team 1
514,Ireland,Oman,Oman,5 wickets,Bulawayo,2023-06-19,ODI # 4588,Team 2
515,Zimbabwe,Netherlands,Zimbabwe,6 wickets,Harare,2023-06-20,ODI # 4589,Team 1
516,Nepal,U.S.A.,Nepal,6 wickets,Harare,2023-06-20,ODI # 4590,Team 1
517,Ireland,Scotland,Scotland,1 wicket,Bulawayo,2023-06-21,ODI # 4591,Team 2
518,Oman,U.A.E.,Oman,5 wickets,Bulawayo,2023-06-21,ODI # 4592,Team 1
519,Nepal,West Indies,West Indies,101 runs,Harare,2023-06-22,ODI # 4593,Team 2
520,Netherlands,U.S.A.,Netherlands,5 wickets,Harare,2023-06-22,ODI # 4594,Team 1
521,Oman,Sri Lanka,Sri Lanka,10 wickets,Bulawayo,2023-06-23,ODI # 4595,Team 2
522,Scotland,U.A.E.,Scotland,111 runs,Bulawayo,2023-06-23,ODI # 4596,Team 1
523,Zimbabwe,West Indies,Zimbabwe,35 runs,Harare,2023-06-24,ODI # 4597,Team 1
524,Nepal,Netherlands,Netherlands,7 wickets,Harare,2023-06-24,ODI # 4598,Team 2
525,Ireland,Sri Lanka,Sri Lanka,133 runs,Bulawayo,2023-06-25,ODI # 4599,Team 2
526,Oman,Scotland,Scotland,76 runs,Bulawayo,2023-06-25,ODI # 4600,Team 2
527,Zimbabwe,U.S.A.,Zimbabwe,304 runs,Harare,2023-06-26,ODI # 4601,Team 1
528,Netherlands,West Indies,tied,-,Harare,2023-06-26,ODI # 4602,No Result
529,Scotland,Sri Lanka,Sri Lanka,82 runs,Bulawayo,2023-06-27,ODI # 4603,Team 2
530,Ireland,U.A.E.,Ireland,138 runs,Bulawayo,2023-06-27,ODI # 4604,Team 1
531,Zimbabwe,Oman,Zimbabwe,14 runs,Bulawayo,2023-06-29,ODI # 4605,Team 1
532,Netherlands,Sri Lanka,Sri Lanka,21 runs,Bulawayo,2023-06-30,ODI # 4606,Team 2
533,Ireland,U.S.A.,Ireland,6 wickets,Harare,2023-06-30,ODI # 4607,Team 1
534,Scotland,West Indies,Scotland,7 wickets,Harare,2023-07-01,ODI # 4608,Team 1
535,Zimbabwe,Sri Lanka,Sri Lanka,9 wickets,Bulawayo,2023-07-02,ODI # 4609,Team 2
536,Nepal,U.A.E.,Nepal,3 wickets,Harare,2023-07-02,ODI # 4610,Team 1
537,Netherlands,Oman,Netherlands,74 runs,Harare,2023-07-03,ODI # 4611,Team 1
538,Zimbabwe,Scotland,Scotland,31 runs,Bulawayo,2023-07-04,ODI # 4612,Team 2
539,Ireland,Nepal,Ireland,2 wickets,Harare,2023-07-04,ODI # 4613,Team 1
540,Oman,West Indies,West Indies,7 wickets,Harare,2023-07-05,ODI # 4614,Team 2
541,Bangladesh,Afghanistan,Afghanistan,17 runs,Chattogram,2023-07-05,ODI # 4615,Team 2
542,Netherlands,Scotland,Netherlands,4 wickets,Bulawayo,2023-07-06,ODI # 4616,Team 1
543,U.A.E.,U.S.A.,U.A.E.,1 run,Harare,2023-07-06,ODI # 4617,Team 1
544,Sri Lanka,West Indies,Sri Lanka,8 wickets,Harare,2023-07-07,ODI # 4618,Team 1
545,Bangladesh,Afghanistan,Afghanistan,142 runs,Chattogram,2023-07-08,ODI # 4619,Team 2
546,Netherlands,Sri Lanka,Sri Lanka,128 runs,Harare,2023-07-09,ODI # 4620,Team 2
547,Bangladesh,Afghanistan,Bangladesh,7 wickets,Chattogram,2023-07-11,ODI # 4621,Team 1
548,West Indies,India,India,5 wickets,Bridgetown,2023-07-27,ODI # 4622,Team 2
549,West Indies,India,West Indies,6 wickets,Bridgetown,2023-07-29,ODI # 4623,Team 1
550,West Indies,India,India,200 runs,Tarouba,2023-08-01,ODI # 4624,Team 2
551,New Zealand,Pakistan,New Zealand,61 runs,Wellington,2018-01-06,ODI # 3946,Team 1
552,New Zealand,Pakistan,New Zealand,8 wickets,Nelson,2018-01-09,ODI # 3947,Team 1
553,U.A.E.,Ireland,Ireland,4 wickets,ICCA Dubai,2018-01-11,ODI # 3948,Team 2
554,New Zealand,Pakistan,New Zealand,183 runs,Dunedin,2018-01-13,ODI # 3949,Team 1
555,U.A.E.,Ireland,Ireland,67 runs,ICCA Dubai,2018-01-13,ODI # 3950,Team 2
556,Australia,England,England,5 wickets,Melbourne,2018-01-14,ODI # 3951,Team 2
557,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Mirpur,2018-01-15,ODI # 3952,Team 1
